max_phase,molecule_chembl_id,pref_name
,CHEMBL1192015,
,CHEMBL1192019,
,CHEMBL1192022,
,CHEMBL1192023,
,CHEMBL1192223,
,CHEMBL1192224,
,CHEMBL1192226,
,CHEMBL1192227,
,CHEMBL1192228,
,CHEMBL1192230,
,CHEMBL1192431,
,CHEMBL1192438,
,CHEMBL1192838,
,CHEMBL1192839,
,CHEMBL1193436,
,CHEMBL1193634,
,CHEMBL1193637,
,CHEMBL1193840,
,CHEMBL1193841,
,CHEMBL1193842,
,CHEMBL1194037,
,CHEMBL1194040,
,CHEMBL1194042,
,CHEMBL1194043,
,CHEMBL1194237,
,CHEMBL1194242,
,CHEMBL1194401,
,CHEMBL1194508,
,CHEMBL1194536,
,CHEMBL1194537,
,CHEMBL1194636,
,CHEMBL1194727,
,CHEMBL1194794,
,CHEMBL1195028,
,CHEMBL1195030,
,CHEMBL1195346,
,CHEMBL1195456,
,CHEMBL1195561,
,CHEMBL1195654,
,CHEMBL1195660,
,CHEMBL1195931,
,CHEMBL1195984,
,CHEMBL1196177,
,CHEMBL2110054,
,CHEMBL267014,L-745870
4.0,CHEMBL85,RISPERIDONE
,CHEMBL273866,
4.0,CHEMBL14376,ILOPERIDONE
,CHEMBL18025,
,CHEMBL18811,
,CHEMBL289948,
,CHEMBL287794,
,CHEMBL290235,
,CHEMBL290032,
,CHEMBL288285,
,CHEMBL41313,
,CHEMBL43398,
,CHEMBL38697,
,CHEMBL37966,
,CHEMBL39284,
,CHEMBL290675,
,CHEMBL42228,
,CHEMBL50112,
,CHEMBL46326,
,CHEMBL539938,
,CHEMBL58601,
,CHEMBL60814,
,CHEMBL300351,
,CHEMBL57606,
,CHEMBL57297,
,CHEMBL300150,
,CHEMBL58282,
,CHEMBL59006,
,CHEMBL301642,
,CHEMBL61177,
,CHEMBL60872,
,CHEMBL61304,
,CHEMBL302096,
,CHEMBL303408,
,CHEMBL65951,
,CHEMBL71104,
,CHEMBL73169,
,CHEMBL304506,
,CHEMBL69972,
,CHEMBL308433,
,CHEMBL77925,
,CHEMBL308633,
,CHEMBL308085,
,CHEMBL76556,
,CHEMBL307850,
,CHEMBL80582,
,CHEMBL274490,
,CHEMBL78272,
,CHEMBL76807,
,CHEMBL76944,
,CHEMBL75625,
,CHEMBL76002,
,CHEMBL76256,
,CHEMBL311578,
,CHEMBL440689,
,CHEMBL80422,
,CHEMBL316267,
,CHEMBL87321,
,CHEMBL104945,
,CHEMBL317029,
,CHEMBL323287,
,CHEMBL105645,
,CHEMBL103277,
,CHEMBL322275,
,CHEMBL116434,
,CHEMBL118797,
,CHEMBL118405,
,CHEMBL324513,
,CHEMBL118297,
,CHEMBL119310,
,CHEMBL326935,
,CHEMBL116773,
,CHEMBL119104,
,CHEMBL115956,
,CHEMBL119458,
,CHEMBL117050,
,CHEMBL117051,
,CHEMBL119481,
,CHEMBL118160,
,CHEMBL122761,
,CHEMBL331470,
,CHEMBL330865,
,CHEMBL424125,
2.0,CHEMBL151475,ABAPERIDONE
,CHEMBL174300,
,CHEMBL367723,
,CHEMBL1189682,
,CHEMBL1190041,
,CHEMBL1190156,
,CHEMBL1191117,
,CHEMBL1191314,
,CHEMBL1191339,
,CHEMBL1191734,
,CHEMBL1191937,
,CHEMBL1192000,
,CHEMBL1193225,
,CHEMBL1193985,
,CHEMBL1194793,
,CHEMBL2110041,
,CHEMBL6224,
4.0,CHEMBL49,BUSPIRONE
,CHEMBL12047,
,CHEMBL18618,
,CHEMBL280329,
,CHEMBL17945,
,CHEMBL273326,
,CHEMBL18556,
,CHEMBL428529,
,CHEMBL279873,
,CHEMBL18190,
,CHEMBL18502,
4.0,CHEMBL19393,LEVAMFETAMINE
,CHEMBL20626,
,CHEMBL20337,
