molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id
CHEMBL340587,,CHEMBL340587
CHEMBL340587,,CHEMBL340587
CHEMBL1744002,,CHEMBL302197
CHEMBL1743993,,CHEMBL63162
CHEMBL1744016,,CHEMBL292259
CHEMBL306955,,CHEMBL306955
CHEMBL306955,,CHEMBL306955
CHEMBL80326,,CHEMBL80326
CHEMBL80326,,CHEMBL80326
CHEMBL311508,,CHEMBL311508
CHEMBL318877,,CHEMBL318877
CHEMBL318877,,CHEMBL318877
CHEMBL62770,,CHEMBL62770
CHEMBL1744003,,CHEMBL439751
CHEMBL1743999,,CHEMBL60137
CHEMBL76806,,CHEMBL76806
CHEMBL76806,,CHEMBL76806
CHEMBL75816,,CHEMBL75816
CHEMBL75816,,CHEMBL75816
CHEMBL101607,,CHEMBL101607
CHEMBL101607,,CHEMBL101607
CHEMBL419343,,CHEMBL419343
CHEMBL419343,,CHEMBL419343
CHEMBL338858,,CHEMBL1184205
CHEMBL338858,,CHEMBL1184205
CHEMBL77285,,CHEMBL77285
CHEMBL77285,,CHEMBL77285
CHEMBL78059,,CHEMBL78059
CHEMBL78059,,CHEMBL78059
CHEMBL75810,,CHEMBL75810
CHEMBL75810,,CHEMBL75810
CHEMBL78067,,CHEMBL78067
CHEMBL102406,,CHEMBL102406
CHEMBL102406,,CHEMBL102406
CHEMBL521582,,CHEMBL190883
