molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,standard_type,standard_units,standard_value,type,units,value
CHEMBL542491,,CHEMBL1191399,7.88,IC50,nM,13.3,IC50,nM,13.3
CHEMBL545311,,CHEMBL1193841,5.99,IC50,nM,1034.0,IC50,nM,1034.0
CHEMBL539299,,CHEMBL1189705,7.44,IC50,nM,36.5,IC50,nM,36.5
CHEMBL79840,,CHEMBL79840,8.84,Ki,nM,1.46,Ki,nM,1.46
CHEMBL543436,,CHEMBL1192230,6.94,IC50,nM,115.0,IC50,nM,115.0
CHEMBL545537,,CHEMBL1194037,6.12,IC50,nM,755.0,IC50,nM,755.0
CHEMBL543201,,CHEMBL78777,7.52,IC50,nM,30.1,IC50,nM,30.1
CHEMBL553034,,CHEMBL1194636,8.24,IC50,nM,5.7,IC50,nM,5.7
CHEMBL540838,,CHEMBL1190428,6.75,IC50,nM,180.0,IC50,nM,180.0
CHEMBL542957,,CHEMBL1191808,6.63,IC50,nM,234.0,IC50,nM,234.0
CHEMBL81451,,CHEMBL81451,8.3,Ki,nM,4.97,Ki,nM,4.97
CHEMBL543428,,CHEMBL1192224,6.95,IC50,nM,112.0,IC50,nM,112.0
CHEMBL543199,,CHEMBL1192022,6.38,IC50,nM,421.0,IC50,nM,421.0
CHEMBL542730,,CHEMBL1191609,7.51,IC50,nM,30.7,IC50,nM,30.7
CHEMBL81389,,CHEMBL81389,8.0,Ki,nM,10.1,Ki,nM,10.1
CHEMBL555606,,CHEMBL1195931,6.75,IC50,nM,178.0,IC50,nM,178.0
CHEMBL544142,,CHEMBL1192838,5.47,IC50,nM,3378.0,IC50,nM,3378.0
CHEMBL545777,,CHEMBL1194242,5.71,IC50,nM,1947.0,IC50,nM,1947.0
CHEMBL81360,,CHEMBL81360,8.18,Ki,nM,6.65,Ki,nM,6.65
CHEMBL309983,,CHEMBL309983,9.74,Ki,nM,0.18,Ki,nM,0.18
CHEMBL2093907,,CHEMBL2110054,6.52,IC50,nM,299.0,IC50,nM,299.0
CHEMBL554868,,CHEMBL1195561,6.89,IC50,nM,130.0,IC50,nM,130.0
CHEMBL539549,,CHEMBL1189827,7.34,IC50,nM,45.7,IC50,nM,45.7
CHEMBL545310,,CHEMBL1193840,7.8,IC50,nM,15.9,IC50,nM,15.9
CHEMBL553312,,CHEMBL1194794,7.93,IC50,nM,11.8,IC50,nM,11.8
CHEMBL554054,APTIGANEL HYDROCHLORIDE,CHEMBL92484,5.6,IC50,nM,2535.0,IC50,nM,2535.0
CHEMBL545312,,CHEMBL1193842,6.32,IC50,nM,480.0,IC50,nM,480.0
CHEMBL540831,,CHEMBL1190422,7.1,IC50,nM,79.0,IC50,nM,79.0
CHEMBL556043,,CHEMBL1196177,7.97,IC50,nM,10.8,IC50,nM,10.8
CHEMBL538289,,CHEMBL1189225,6.44,IC50,nM,362.0,IC50,nM,362.0
CHEMBL543192,,CHEMBL1192015,6.69,IC50,nM,203.0,IC50,nM,203.0
CHEMBL538052,,CHEMBL1189107,6.51,IC50,nM,309.0,IC50,nM,309.0
CHEMBL538283,,CHEMBL1189219,7.4,IC50,nM,40.0,IC50,nM,40.0
CHEMBL79840,,CHEMBL79840,8.37,Ki,nM,4.25,Ki,nM,4.25
CHEMBL81455,,CHEMBL81455,9.85,Ki,nM,0.14,Ki,nM,0.14
CHEMBL545079,,CHEMBL1193637,6.7,IC50,nM,200.0,IC50,nM,200.0
CHEMBL545545,,CHEMBL1194043,7.41,IC50,nM,39.0,IC50,nM,39.0
CHEMBL538036,,CHEMBL1189094,7.73,IC50,nM,18.5,IC50,nM,18.5
CHEMBL544144,,CHEMBL1192839,6.69,IC50,nM,205.0,IC50,nM,205.0
CHEMBL545542,,CHEMBL1194040,7.4,IC50,nM,40.2,IC50,nM,40.2
CHEMBL552829,,CHEMBL1194536,8.13,IC50,nM,7.4,IC50,nM,7.4
CHEMBL540326,,CHEMBL1190185,6.96,IC50,nM,110.0,IC50,nM,110.0
CHEMBL542959,,CHEMBL1191810,7.16,IC50,nM,69.9,IC50,nM,69.9
CHEMBL555698,,CHEMBL1195984,7.01,IC50,nM,97.0,IC50,nM,97.0
