action_type,molecule_chembl_id,parent_molecule_chembl_id
INHIBITOR,CHEMBL513,CHEMBL513
INHIBITOR,CHEMBL803,CHEMBL803
INHIBITOR,CHEMBL727,CHEMBL727
INHIBITOR,CHEMBL185,CHEMBL185
INHIBITOR,CHEMBL513,CHEMBL513
INHIBITOR,CHEMBL803,CHEMBL803
INHIBITOR,CHEMBL1489,CHEMBL1489
INHIBITOR,CHEMBL185,CHEMBL185
INHIBITOR,CHEMBL4,CHEMBL4
INHIBITOR,CHEMBL8,CHEMBL8
INHIBITOR,CHEMBL9,CHEMBL9
INHIBITOR,CHEMBL850,CHEMBL850
INHIBITOR,CHEMBL5315124,CHEMBL33
INHIBITOR,CHEMBL31,CHEMBL31
INHIBITOR,CHEMBL826,CHEMBL826
INHIBITOR,CHEMBL803,CHEMBL803
MODULATOR,CHEMBL940,CHEMBL940
INHIBITOR,CHEMBL141,CHEMBL141
INHIBITOR,CHEMBL788,CHEMBL788
DISRUPTING AGENT,CHEMBL1220,CHEMBL1220
BLOCKER,CHEMBL918,CHEMBL918
BLOCKER,CHEMBL744,CHEMBL744
BLOCKER,CHEMBL856,CHEMBL856
BLOCKER,CHEMBL1194,CHEMBL1194
BLOCKER,CHEMBL108,CHEMBL108
BLOCKER,CHEMBL698,CHEMBL698
BLOCKER,CHEMBL1068,CHEMBL1068
BLOCKER,CHEMBL16,CHEMBL16
BLOCKER,CHEMBL741,CHEMBL741
BLOCKER,CHEMBL79,CHEMBL79
AGONIST,CHEMBL679,CHEMBL679
ANTAGONIST,CHEMBL71,CHEMBL71
ANTAGONIST,CHEMBL42,CHEMBL42
ANTAGONIST,CHEMBL1108,CHEMBL1108
ANTAGONIST,CHEMBL85,CHEMBL85
ANTAGONIST,CHEMBL479,CHEMBL479
ANTAGONIST,CHEMBL715,CHEMBL715
INVERSE AGONIST,CHEMBL54,CHEMBL54
INHIBITOR,CHEMBL31,CHEMBL31
INHIBITOR,CHEMBL5315124,CHEMBL33
INHIBITOR,CHEMBL614,CHEMBL614
INHIBITOR,CHEMBL1747,CHEMBL1747
BLOCKER,CHEMBL696,CHEMBL696
BLOCKER,CHEMBL695,CHEMBL695
,CHEMBL61,CHEMBL61
,CHEMBL1200391,CHEMBL1200391
,CHEMBL1177,CHEMBL1177
,CHEMBL720,CHEMBL720
,CHEMBL1243,CHEMBL1243
,CHEMBL108545,CHEMBL108545
